(11408-1.8474111129762605e-13j),(19465+1.9184653865522705e-13j),(56399+8.242295734817162e-13j),(59781+1.7053025658242404e-13j)
(-39.026307275410254+7.4589359283857615j),(8.843516566547288+15.292418194240161j),(62.98056155060017+114.52366952497547j),(234.862764151108-43.01010743101845j)
(-51.16379746591257-22.968488118192635j),(-39.58207819765026+9.419975386759287j),(8.827392006647624+4.984099017588895j),(419.15012558897456-286.03384695524744j)
(-23.292841765364532+17.741068983880616j),(80.05252426201947-35.38715655106748j),(38.882877339294325-27.228140290068943j),(367.9232917684453-22.789499580179395j)
(31.61870112815437+33.31038158441617j),(-3.3457481416199535+4.040003707167347j),(-149.1509648735564+30.780440778341372j),(-266.0857431684639+509.11430423145373j)
(-5.084499279406343-23.020266596361328j),(0.6807722407569361-1.37227881982124j),(-46.90372238084445+43.49270017894061j),(20.860778661967878+45.1596208560931j)
(26.258373284278008+22.795738666559146j),(-100.47482040593489-64.30854649019935j),(-76.7863157026886-73.70187852442653j),(-128.97928314280145-352.8854624398298j)
(-31.177081848334918+1.2880273019029524j),(-54.88199778793641-45.02789508961168j),(30.921872109423756+59.88699844220235j),(224.72813024669145-154.55137062995215j)
(-2.5658809139444134-35.849419435851594j),(18.58079545945496-20.46360715670546j),(-33.02001241223776+83.24251048451478j),(425.0216544350171+294.16948150109096j)
(-59.20580796217172-8.785947079081524j),(35.43313090548017-24.141543389738242j),(68.8456461724323+52.31838812310299j),(111.08359945559896-11.139602129515623j)
(58.82193697145313+40.85322170666136j),(-28.824899642910545+7.129260470104852j),(-323.9906068049887-188.62772488484993j),(286.2229316903966+191.37190225249495j)
(-24.757754432508666-56.32344010844536j),(2.5746875703912764-22.723320399249445j),(-122.54386031758429+33.22533116658719j),(273.55573384211203-0.5887126324870025j)
(-51.50138329675043-35.43431906282325j),(-42.58291288737519+2.638753211225543j),(-12.011353044290448+95.1179234096158j),(743.0147405342409-268.17666472407734j)
(-99.63840361348677+16.614371640774568j),(-8.334881658638764+56.9038599412975j),(25.657428314866458+67.85537042683028j),(990.2419511648636-289.59642147582974j)
(33.76546433820182-19.465921849696105j),(-26.863132471047063-11.315928342182055j),(-61.51123234046897-130.95218762630213j),(-649.6851908345484+597.4093178546055j)
(0.7287955139885725-34.49763859753156j),(-14.532629505250071-0.2583810352168001j),(-108.54828792441239+20.563768770817262j),(18.103034791250586+166.929819638775j)
(-6.4770290325309245+24.834271356309618j),(26.46965855695602-0.1840992648313009j),(-1.637669530792558-41.040954990916j),(-14.924720605374464-299.33759430512816j)
(-23.044270034387047-14.697291125346558j),(-3.5964693620743624-53.792101211446756j),(110.28516148550781+46.74641330648518j),(301.4517589292893-384.42543528046224j)
(23.5742916011844-38.19147285303569j),(-75.1234624203288-113.43966466138795j),(-149.0153217874541+16.281662239218342j),(448.4740330459276+366.91115425113105j)
(-36.15218074378019-9.404482882395143j),(-11.29037773260175-67.44382120982651j),(-17.2836218854124+136.55554327378812j),(386.69347203216375-92.42004090747056j)
(48.21811041164709+25.93102077042229j),(-4.606523025385153-8.352990073373935j),(-193.32626072034446-225.41968552439153j),(405.58429222830216+205.77110592246808j)
(2.9520355087996464-14.219390877803006j),(4.4562173982102316+68.35972578266299j),(-167.50936616164785-81.95159782958561j),(674.8444168386703+77.52848457540796j)
(-35.90752248774142-43.87494544664585j),(-21.11405437415184+19.652527440998192j),(-351.5553469269285+111.1151395253707j),(1941.754513217211-127.44600161735332j)
(-63.16442690952702-33.224979857891526j),(15.389491502378618-3.485306554670842j),(-1107.8022072854283+268.080744872812j),(7062.877589312241-632.1162226573656j)
(13.55365764496516+7.557323400408167j),(1.7344656910644662+6.094122435417156j),(512.3162336641199-198.60130932391894j),(-3336.4803658629353+589.1122407827229j)
(-7.604922619485519+8.72909036650539j),(-4.23830960096664-4.875136070819581j),(87.88528605636151-112.46149908437675j),(-1288.9792398817763+421.3363912564696j)
(-20.199417729465402+17.469604767414214j),(-51.722189086970886-29.287350085927336j),(155.01746643513198-24.96067146213168j),(-890.4581572436559-161.30308891013024j)
(-12.554815934419587-26.72742652956156j),(11.372743992687436-30.28147669205363j),(272.6835123083042+183.49922656631117j),(-311.55099047168846-707.5050705497863j)
