(11300+7.105427357601002e-15j),(18478-1.2079226507921703e-13j),(56216+7.958078640513122e-13j),(59634+1.9895196601282805e-13j)
(1.5494582116152402-10.18061843094475j),(-19.028882558834745+20.905354043353015j),(-145.66107470104745-17.111672906280624j),(255.19027246509276-111.68407188122127j)
(-72.68236524247186-18.169100608723j),(15.149214658266203+33.964137158834376j),(-294.51270966383424-69.85571879393461j),(188.76924341059848-28.023071874753292j)
(28.701284455072994-24.529232870016788j),(-23.42045443292648-51.58099231086784j),(184.66298099764126+462.68461522273014j),(712.2003806177055+680.3504311184329j)
(29.084590025408964+19.484840689350563j),(1.6479203709833214-79.38268083958317j),(50.48534073007348-113.90946979154012j),(152.21949649061486-128.85675821042673j)
(7.987127454188384+1.283943295588423j),(84.69924474034758-15.383055965093995j),(-10.186598876109837-74.30218396149243j),(339.1264705565977+52.44066262949693j)
(5.782245186404602+48.4590661102658j),(3.2713511893966825+61.104893893888175j),(20.752879604840444+130.30706415508786j),(533.2690515953412+291.3860623022526j)
(30.391074491599372+24.033050789089426j),(24.195948922019937-0.23319110539301713j),(-158.2737234985962-21.027458258240028j),(253.54088254916206+253.2628624921141j)
(-30.042643795334577+52.61890042172625j),(18.096840365188182-43.1131157672134j),(12.268894340535716-106.53782356602377j),(143.16119690528424-38.263262266244865j)
(43.08952029230312+63.79669367851159j),(34.44405409851321+6.340873759354489j),(4.247460672512531-162.26513701340872j),(359.9854126107577+281.91077361280503j)
(42.179573186630115-86.24728670155916j),(1.4405667675963192+4.768347657354167j),(-30.248246689687743+275.9077437378877j),(527.5529603105327-303.0579235174815j)
(-9.806457653079965-10.928067082973676j),(22.04644250891304+49.66079819418721j),(-55.93247780150229+131.9195131595019j),(453.7578475890879+12.337979942948522j)
(-52.898299259272335+0.2926443522138431j),(5.811375323415454+75.88866250305426j),(27.61012848103632+72.8903343571603j),(331.3668550142508-348.30094280180833j)
(-66.14432213632918+8.144667676836722j),(-45.5791669837499-3.653050634149782j),(113.53121969050409+124.9808542373494j),(802.3656254504987-880.345066465549j)
(-1.5257288653130434-11.7903734192511j),(46.78245269354217-43.59368595167444j),(-88.76046842233484-33.232443772541856j),(185.90960135582176+610.4366811391724j)
(22.11597082689171-45.794197527569864j),(52.337772822412894-30.187780074348666j),(-185.00828489911402+24.015339941007383j),(426.3782683471561+423.68515632972293j)
(71.80557257974698-7.78256690910751j),(9.520386267491812+23.532888437204843j),(-100.63425112763562-35.915214987310264j),(291.5987717924556+33.53841891801095j)
(-0.5826836451992241+5.9674231298603j),(-43.17878659220192+6.98680063034948j),(-48.41658228884022+148.41997434986436j),(717.6769914389162-132.89876749342454j)
(48.381705571366155+26.149065507575443j),(9.40423951657148+19.10402911881669j),(-128.28239435920187-32.32716787325519j),(324.47463298742497+373.6053275972896j)
(98.6535289316123-48.37306225807752j),(50.05847748350545-54.82169950331886j),(-392.3735123399936-73.20969211310063j),(918.9958678485744+488.94419511885656j)
(-10.140387249423384-7.8511573519690465j),(8.761718277610004-53.040938501337706j),(-6.93770179117082-27.68446602781304j),(508.7470305038605+350.50022630388276j)
(-3.740800789533967-38.058387722154585j),(28.500157447888746+19.64987141287237j),(-110.17270578602177+48.76089651083663j),(1056.9885963903541+188.7271044755171j)
