(7890-4.973799150320701e-14j),(15985+3.979039320256561e-13j),(57629-6.536993168992922e-13j),(60919+1.3642420526593924e-12j)
(544.4461257655474-542.8349115182082j),(-31.828419536898274-21.882409700341288j),(2591.0163021558265-5848.729301449399j),(4654.156431016919-8034.562262192428j)
(-89.73823049299435-79.4224715056389j),(-21.730753963827617-22.151709558184j),(-146.49564413332214-869.9902206937068j),(-610.2741182191014-1311.2523998234037j)
(13.33144545392527-82.51192879593665j),(-2.620557467824351-14.717964298720608j),(344.9493363487415-1187.8180618671531j),(907.8299494199646-1455.803695505623j)
(-11.61690716658623-211.49171402356052j),(-8.328751593923394+9.408540174344207j),(204.804764974659-813.9222466719391j),(903.4187016057408-1363.3035740965925j)
(-83.10127966926274-75.80177865878747j),(-17.57561295649152-18.531828304595855j),(30.126335308375246-603.4310186294961j),(541.6625945357009-1021.2567339492421j)
(36.45445742784535-0.4360873437177144j),(-25.315408220876563-29.497527828350858j),(221.34142727872157-468.3211596234382j),(627.9895649859294-766.1629726713819j)
(-19.055197142517187-74.49631402469386j),(-12.931828255566673-0.9057030292151962j),(121.43646229392897-590.5039122173514j),(649.193515343051-1014.6288517783331j)
(-38.04593390615122-24.37064279855586j),(-1.5881067036046004+6.090065094024155j),(86.88522090735789-328.4306560618379j),(-114.49597581401008-411.9526815159491j)
(8.823621589500707+8.344757454944872j),(-17.70142726923629-1.6149259936962963j),(177.94379905681393-482.25685844404995j),(145.6078221275998-232.36491092309825j)
(96.66349293089353-154.46503042553888j),(-13.569123739645821-14.31799286860467j),(-244.3625319114782-206.37794169465823j),(460.2215811295607-372.3828989255761j)
(55.62636371498924-23.06933931787143j),(-38.400297497009745-10.418389927100062j),(-59.285557866287746-254.38320158757517j),(-77.35803477431769+112.30535459273003j)
(53.196833781938814-62.329343279625526j),(-22.11756593137125-11.22997636035132j),(-37.948759954095266-297.3587285154814j),(65.01367088295078+293.2334041291685j)
(96.78064356006857+17.19238910207968j),(1.2995966739737561-15.369997542131681j),(13.386117234227555-402.3397052534135j),(-82.41550663913605+573.2519407261555j)
(-126.08802973922876-34.93104223460942j),(-18.79563409252989-12.422910612441543j),(93.40008240178138-112.86955997411867j),(1048.8726369341225-416.76959195472887j)
(-30.867092550994027-8.932248183917865j),(-2.622314566305274-34.1364898395662j),(228.2236892469447-133.03151720507728j),(798.206628708474-512.0772658425383j)
(-20.727802395788572-46.11431685504575j),(10.044095289352953+18.015971884071554j),(164.31532773299148-240.65564980671658j),(415.8425890278419-359.32925849659114j)
(11.147757553746718-25.13498629129217j),(-0.10460594928876477+7.839512934227459j),(216.7211305848042-110.069465675809j),(621.4574866453172-601.8941937706236j)
(-36.99129370227344+47.21049204565272j),(-30.529797527679463+4.981376767816698j),(158.0728647376973-317.32219556702483j),(39.11353502664717-80.8015157245626j)
(16.814895311504692+40.79883133608552j),(-32.29184464265787-19.271021337763102j),(128.85889602361496-437.39397436660204j),(97.93728658023203+450.6163270154478j)
(-12.275637587805111-91.6188282575833j),(-42.10778625120815-24.225787456753885j),(-74.4532379447392-68.85776678077227j),(384.9625290916683+164.83010777524984j)
(56.43948845674779-35.68176955855078j),(-26.541024075491357-2.7837819291716723j),(-39.776656625639035-279.55957259879506j),(165.15733859678727+1056.5263764462122j)
