(68069+1.8474111129762605e-13j),(78101+1.9184653865522705e-12j),(159049-4.618527782440651e-13j),(171499+1.0373923942097463e-12j)
(-201.57325684879285+140.71295550023544j),(-116.33909756655277+129.95088574141292j),(152.1054152355011-379.2434658425833j),(318.45192891352815-437.43973318421206j)
(531.8660420690566-449.26628412796754j),(567.7608438689033-428.80263171053406j),(-153.66264063176584-57.405702224323505j),(-389.5292991876562+88.4491853776688j)
(827.3912076898595-80.36721722427272j),(887.5924614083561-103.70595574734399j),(-261.9074105145602-14.99406605862541j),(-602.6654577503729-82.69640877101942j)
(582.6080611114409+1.8536792562638595j),(650.1785799144169-28.873061519530104j),(-193.55481737787602-92.63249961667141j),(-429.0436431197028-180.07562830567295j)
(271.73924324526854+12.402371219290877j),(328.74297144890136+26.761783737341915j),(-144.4411633501962-121.126877728643j),(-271.3781116856847-135.38221226947869j)
(222.43899037292817-263.74524304312337j),(315.2630063468585-254.58013260934538j),(-87.18083205540523+8.466136960809383j),(-238.43594581852255+87.93854325507024j)
(186.00343999049085-336.139991855048j),(239.47255601882043-288.875948452462j),(-97.50131086246975+14.788660538555613j),(-175.16748528056814+127.47166342623403j)
(48.73129302288604+21.458265665346786j),(107.83042536819747+18.43788012002969j),(-74.80689567024376-70.92786760923286j),(-73.03861306134425-91.17079614180138j)
(21.666035523027688+263.9881690213104j),(81.23481054389829+260.1405716625528j),(-109.65238824587313-104.18908820833616j),(-78.37279631897452-209.43275738221098j)
(-1.4664025408902877+19.872987584040807j),(-0.054778309601132946+8.887646987327j),(-25.71939550254116-50.800382686630186j),(7.097597977918735-51.04529614762162j)
(41.52648565837351+61.12877727293429j),(38.4333201378546+51.48104646180178j),(-37.3123566598413-22.570872787062108j),(-5.285468623370406-72.85801577007562j)
(138.33012808191944+27.47856933422385j),(246.72726638618593+24.88827607193069j),(-76.42737067261928-44.610875126761265j),(-138.54114882724107-83.41852026703586j)
(185.35884990625328+109.20431525496082j),(221.66656886164634+139.2079946848229j),(-44.40480214275492-74.67194515235889j),(-175.89080274595102-123.19297100026918j)
(182.98099133002887+98.71223548847097j),(254.6731294647368+63.293644343811124j),(-67.47831855350464-65.30003381440076j),(-161.0994520490211-151.80953259243077j)
(103.7556802809768+34.890265835398885j),(131.79485387937012+20.101064004297864j),(-26.09741213258493-45.38723589183558j),(-79.03802199420942-93.29336820930041j)
(67.94545064032685-7.64633404718831j),(141.44045959596926-17.32895322616801j),(5.058058198998941-77.77022196785451j),(-61.12477409277309-1.3211959794313137j)
