(20915+1.1013412404281553e-12j),(24288+9.023892744153272e-13j),(33609+1.8260948309034575e-12j),(34862+1.9468870959826745e-12j)
(-1.6693815071058102-24.782324203530003j),(5.119543451277966-39.92949040546795j),(-55.13214155822899-28.409865051277617j),(-76.85754835347811-5.147255321937903j)
(-5.212915395494625-57.16683333940235j),(-7.7664508363804785-4.412934217500819j),(-29.174421204595596-20.3109341676807j),(-19.761853869381913+42.109300233004426j)
(13.3144647903956+11.807447278658653j),(26.825838328523016+5.833732685355725j),(-99.1404209964159-48.929628637118384j),(-107.67571164377755-45.16747360153779j)
(-30.75285368222651+14.369781995611891j),(-41.816214522738534-19.516486638446786j),(-20.11347250445502-3.347295818618803j),(-25.420736456753367-36.148041238136734j)
(-14.165014497410699-0.014760219642989902j),(2.5337754073149363-10.161301211979385j),(-48.02480410502259-49.94997156186688j),(-95.48470153569912-37.57024662241809j)
(-20.100230578161216+3.4808981469572036j),(-42.60272183192535-21.725319200885746j),(15.7167217161145-33.49419251051659j),(-7.228635091644074-25.35311996277334j)
(-11.982989768412223+2.416155436940289j),(26.390220041469885+19.90078114307509j),(-59.517780611980925-43.26568076779597j),(-37.983503229583896-60.25184761224237j)
(5.462550388491485-1.9275000254061174j),(3.0067259037024745-2.192195854175935j),(-22.750398117043343-32.70768010971137j),(-11.782104574763782-41.17501961955567j)
(7.659544142337504+13.335651659632402j),(-0.1679715934687671+34.1729434211737j),(-30.85626884819559-48.71848177586101j),(-29.15695278979858-55.64278316177989j)
(-15.641971649283981+15.71185515679095j),(-5.179912040299973+48.93797512054952j),(-1.339090101747182-38.49530832305146j),(-0.4537639448042423-44.05760416709226j)
(-60.0330647560877+4.835841602265262j),(-30.47957148854902+3.654903306444457j),(-34.0006110844098-67.12153581212326j),(-8.901048509436887-66.35656168758004j)
(-4.996290813291613-9.898849780463719j),(-12.07581724647373-4.579971934814582j),(-9.032197451760622-35.90978361648018j),(-12.363852860904283-31.526281961275508j)
(-21.874033605109474+8.940726878266524j),(1.029515246187057-24.494611869527606j),(30.34393809680546-43.459713552296726j),(24.018898584390055-69.38795732776285j)
(-1.9822538199054787+30.946440138650786j),(9.076378398176136-8.111343182709941j),(-1.4507787768657052+4.450736685747571j),(0.5406409202403566-7.838256906490496j)
(-5.544524704856736-5.143719948005001j),(12.585383897638692-25.32229126786655j),(-13.969618692372455-11.546200740876168j),(17.0431651716535-31.390419494379913j)
(-11.75854143494022+18.82174369240057j),(-14.305918959585352-6.431420773181914j),(-11.42773529283539-18.738895102566747j),(-9.523736417355485-9.326512404105655j)
(-21.933383520771855-1.840145734906248j),(-2.6372068559773796+14.169636373417715j),(27.676499477648115-23.767323464900358j),(2.979775552052714-32.00475445832057j)
(-29.574869850633146-24.45100330215267j),(-19.487909783988485-25.044274659136327j),(0.6603042565471453-22.347126010095266j),(-12.120144988960906-52.92001765662985j)
(-9.189098947281408-24.034342159586885j),(-43.141130348538425-6.421220922076568j),(3.8406127130408274-17.563681883714807j),(4.636648024260153-15.440609927995215j)
(-13.410125489109747+2.6608887465582356j),(-9.20396077358138+4.514526619561961j),(-14.313386765135347-11.236395902527208j),(6.214589162808227-19.22246444496301j)
(-8.015907994292652+31.913160786204536j),(15.863946204057191-0.8381086986408102j),(7.359740252760409+0.48340828544902625j),(11.708159222878717+6.188847279997009j)
(-38.46876284621622+30.62159254893955j),(-6.595891238883911+4.206237644923881j),(-18.161990677073938-18.50010870736712j),(-21.935892625219033-15.83679019906655j)
(-13.825126636826749+15.540659411542592j),(9.024120959681655-3.9213149825436666j),(12.849046354876945-20.4223356830232j),(-18.753401345710788+0.4060954053971688j)
(17.464078607330922-8.531878874977265j),(6.075814960260489+22.768566507884216j),(-2.403162149202532-21.204322533734377j),(-23.539450504741875-3.5135878463441905j)
(22.11842984385319-13.14267217085291j),(43.03408386217789+11.568607324948623j),(-15.493576858123145-24.746648316562172j),(5.254593091209913-5.492306730653694j)
(-2.894037112554797+12.420941480100225j),(-26.298490880656345-11.510933617792457j),(-10.23895410948704-24.212266469580022j),(-27.23594072190591-12.436558741250604j)
(-22.207084411890197+15.9754518640623j),(-23.461270167020864+8.498089324591145j),(-2.2360600942834865-15.555780662771216j),(-23.650663482672147-6.495104919123506j)
(-21.3289002796423-12.038363879487754j),(1.190512662916551-33.09685240038219j),(-3.0318274356820405-6.62238987765089j),(-31.68244435594103-27.90341428701999j)
(-9.583615112423605-8.986398909413882j),(-35.05377542168858-17.500190101883433j),(-12.817364339930249-17.640426295142987j),(-6.412592382285887-23.38036132349486j)
(4.867552425895893+6.775786732990964j),(-3.6350455048368477-6.678079636604669j),(-27.905395874858197-11.978818289473221j),(-20.705853186282912-1.1029832621129418j)
(3.9069096241120365+4.5093861535844315j),(-19.454764196061465+0.2509680743315711j),(10.634543204920345-18.706364204689105j),(19.248272454603978-27.090565719205877j)
(24.380241226248813+11.659618005677931j),(3.5127411942905122+14.861698885258276j),(-4.877877204239545-14.950009828076393j),(-9.490481927020571+6.987522385445354j)
(3.6006619926202337-2.6146178102400146j),(-24.168417425911382-1.1789022315531366j),(1.9967248146457042-33.44550330383653j),(-13.619648234078088-25.346361513329164j)
(-17.358164070291267-10.311157633936618j),(-44.36351667093305-7.0857270500896945j),(-17.949391603119437-4.934193066175955j),(-21.75794548517463-15.274928544005537j)
(-3.906519100495302-31.840352342868574j),(29.231083202307815-7.738151538647241j),(-15.388917690047656-17.179861541813658j),(-8.319872316622119-5.651442047731605j)
(-10.197635527601426-29.26528778808746j),(5.100761463271766-37.79654759402541j),(5.10098157410958-19.55987765532742j),(-28.635581253466153-10.213315523096803j)
(0.31155837150582233+14.187220763662651j),(5.391093426774695+3.375651158004358j),(0.8529239226356184-2.896886912710643j),(-13.056574957114265-21.668829532015735j)
(3.323011207657353+4.066007344022079j),(39.797848385747116+0.837182642587436j),(-21.679924496111624-16.928166815859516j),(-26.09859993949931-45.089339065318384j)
(-2.4820050909060067+6.219269625035824j),(14.56010639944041-3.649995951326096j),(-3.13246109605445-46.278129153891456j),(17.05996568023406-27.273135656423612j)
(-10.224513685364808+0.6513351808405581j),(11.92561309235319-12.20162532357943j),(20.456018348241603-44.676564593016224j),(0.9721247257188743-46.22437565186426j)
(13.975739729842454-21.16961593103697j),(-38.37528415493786-35.62399200618319j),(-0.9588369102982637-5.5861740414809065j),(25.825126902553908-1.6473366101653326j)
(9.378454217939275-29.027709860185404j),(-10.960064589473955-8.782581505402737j),(-17.40077650079814-27.47128696006244j),(11.686968794386354-46.37524836765777j)
(14.856903884620333-17.234434390695622j),(1.0758474877579758-47.42208122897619j),(3.9982559222526746-38.010576851230425j),(-19.81414206678751-24.967485508876j)
(-4.443851731998283+5.248559472069596j),(-25.434276323723193-12.988886045991883j),(-2.7389203797957435-64.21642309406717j),(6.130713848305984-59.76760885800286j)
