(23126-2.4513724383723456e-13j),(27079-9.627854069549358e-13j),(40173-2.5579538487363607e-13j),(42339-5.613287612504791e-13j)
(-16.352878535230474-18.345102443474165j),(23.213443059494466+7.619436995966556j),(27.70289573153656-97.87358731137464j),(0.47608191904665065-37.40952531189963j)
(-31.932973952632015-11.710848066076437j),(21.28684593464579+11.346546416993469j),(-51.55819946302963+66.68659010096036j),(-3.546393615159154-21.425569422451687j)
(0.7193850032645404+10.534125233438727j),(46.99693633273391+33.524109189284275j),(-55.71780750159403-84.6009627208804j),(-17.628941243483766-6.888699509110552j)
(-11.353303805753523-17.77304928827694j),(-2.7829634432605324+8.784787270335832j),(80.44998752521656+7.796911116790575j),(-12.09224902351064-5.963252734764855j)
(39.363299686087466+4.626683821733167j),(-24.279436953608577+17.31978080467707j),(-95.3841880930068+16.50290400897082j),(-26.660858201579643+3.392429469448196j)
(1.027230905884167-12.081551668163824j),(-47.59270243086519+10.925238489188288j),(55.2953230501454-41.30160367786232j),(-17.051558200317796-1.1385010285192996j)
(32.01704015481086-1.3720548009993525j),(-32.347295817227405+15.823653368208852j),(-11.983080159994397+67.5536754439835j),(-30.270766735400017-4.880829890275921j)
(22.442007692789012-10.814803134426818j),(-35.84286916823536-15.376176043953354j),(-17.42305942890498-49.1232367899928j),(0.9267638659344057+7.430965240944764j)
(20.867998530820078+16.69034391106094j),(-30.06808587397248-12.587511855001601j),(51.89124298287055+31.53000557730212j),(-22.84135087808954+29.53686707869869j)
(14.655733160712193+21.07660772325634j),(-28.173175358441462-54.734943651407434j),(-62.94468965900094+50.95851688497872j),(-6.6879908324583255-3.489349822561745j)
(9.326952932451375+0.3945767858128j),(-0.6610214116328574-41.0182490609677j),(56.68717276483696-72.2151236396826j),(-15.060353131597273-29.86945039439074j)
(13.81827574305558+14.936471627082435j),(42.29551601379376-27.360029064207147j),(-16.642532191729895+83.2365857647536j),(-24.69486210234951-3.122371240816766j)
(2.998211148046413+8.06588043215499j),(32.538865091117096-42.69011962625382j),(-64.61297736941111-109.41409848400102j),(-42.296288089363195-27.86851503257396j)
(9.651688995377288-18.324934966162324j),(40.948113240101584-37.12188351875113j),(46.31082799537494-12.365830261050252j),(4.783107287976064-6.31010196636928j)
(-1.6247129062155654-23.12316551755763j),(-1.4553258174633885-6.459357199605713j),(-84.30311973351827+12.673887038702105j),(-13.606869498468193-5.33565814746193j)
(15.988279983442128-32.366315631428385j),(16.15153848982147+46.063478531202506j),(3.814646595289066-86.51894488724332j),(-7.6023757037063815-7.234913604042589j)
(-6.2587379852349345-19.314856680978355j),(-5.8248323419949966+44.044312886922356j),(12.67708348632881+66.08054540430851j),(-29.792343821392464-23.592957128010866j)
(14.869049440111459-30.567806777898305j),(16.802063334664805+25.719534590888784j),(-103.3394228226566-74.11285256706527j),(-18.77013836384663-8.243061051570372j)
(-10.423050586434602-29.662808137544605j),(-4.19132250499038+26.632507551935944j),(46.88904977855702-27.008258931501228j),(-14.93846317358346-14.602609579698258j)
(6.348011144318871-9.835505131416861j),(-27.986648326662362-12.943353270541072j),(-51.23435214572199+41.651694607714816j),(-13.555552855228335+14.404802156789202j)
(4.662807096771894+0.4354557346911392j),(-39.88513486294297-4.725129364434693j),(13.15974958264129-64.50040426750064j),(4.780853253431592-0.7806572872237656j)
(11.61414453633945+1.4929899410497092j),(3.620433774126112-7.600829460393949j),(1.378956001268694+45.51226437020926j),(-21.0224569433481+9.331100327805013j)
(-8.035921967383587-6.387472765678141j),(-4.507533162185732-26.45470471235449j),(-109.61218324641841-10.876601560822827j),(-30.556176485431507+19.657702292906464j)
(-11.868291407270496+25.83111952914098j),(3.5005289367597037-52.72431373782889j),(27.508153714695098-14.101185852308921j),(-22.920308629285103-21.583655269500966j)
(-18.536978654449044-0.5475510107314459j),(-13.443389736719602-44.434183136001806j),(-66.95646465567968+78.32905416853062j),(-20.61709977857462-26.21017923668748j)
(-20.46920493937624+3.8699922990391276j),(0.8472632419768131+5.464895596199571j),(-11.560939809933164-49.03803941965504j),(-17.124946840610644-13.149749986156861j)
(-22.26240320745933+4.531938829829789j),(40.624746836428855+7.351292719493175j),(47.948119202611764+74.46052527303762j),(-15.578678035673247+1.8547231547425955j)
(-4.162612960286827+19.300479731669213j),(30.625672201299786+3.7849764080685713j),(-81.1025460782307-39.37836963641517j),(-11.0234037407738-2.8852257573061344j)
(-3.971641602998446-27.422352446451825j),(18.976648362529097-36.60707740736576j),(68.59510965221844-49.27299398805634j),(-28.54557787539669-48.98067053641395j)
(-13.645527905859277+4.796062787563148j),(-10.780242059883482+14.387647286515653j),(-46.65694292754868+29.72203676047839j),(-36.069079096559136-12.200695103144662j)
(4.804137237464435-32.977327576505694j),(-28.31146840111654-2.9961829376248597j),(-27.440330393191612-129.61953740143298j),(-8.212223340792189-24.134155390671506j)
(9.824188462233797+8.203796661424354j),(-3.726681604115604+38.93909371263052j),(39.37381308898345+21.74268471533701j),(-23.826349669405577-8.605901728549625j)
(33.80709872601424-10.49520965052362j),(-32.46881199516366-0.5249470459411549j),(-98.92272041553957-19.781414745599793j),(-15.496772054871752-19.247072139747964j)
(40.596198185382356-10.927773463458404j),(-43.69777402131572+17.702234249472482j),(63.022265485257776-62.67796952065934j),(4.373477266898306-17.16128984752252j)
(37.04615709988546-15.258751811460819j),(-22.97728094661136-11.198822282496206j),(-7.467540785815207+62.94884742810244j),(-31.051451539831316-15.718898834030924j)
(12.619821657207245+1.785259720850485j),(-29.67962699512061-5.034567252543563j),(-47.893173921635054-74.30225035642064j),(-2.6764229802982156-10.910921006484546j)
(22.09033271911755+6.617570993855955j),(10.582868266156723-30.8264504049493j),(46.198203945505796+34.5834542099322j),(-7.365070728064591-34.56045760578396j)
(-1.7795124055334965-5.67588377197012j),(1.1374544571609575-23.09909881587037j),(-73.33344856529486+13.95669470593998j),(-20.184816830956706-34.42856308856968j)
(13.8180681886071-9.339500791399956j),(22.37321696980738-8.780377245657457j),(32.93060934843478-61.81199653587002j),(-9.147497548612158-30.029188779300192j)
