(20866+2.6290081223123707e-13j),(23327+8.526512829121202e-14j),(44236+1.0800249583553523e-12j),(47427-9.094947017729282e-13j)
(-35.83561072758989+57.093446519666486j),(-80.34271774583858+110.06945636127243j),(-18.633002217981705-34.596707734712034j),(9.166084786853052-10.055017654228957j)
(-10.240036313582516-37.41257995600186j),(-8.320366987126516-71.7948056775373j),(40.05808790223618-8.328889928145724j),(41.23801212339925+22.705171931756162j)
(56.18629462747531-18.99661996344444j),(1.1356068209161059-111.1295521888848j),(0.2294224536288802+1.6068511174691116j),(0.33951023460517415+22.796270170075193j)
(36.86418585700592-22.399986359036117j),(88.50328515229448-53.74155627329099j),(-2.84278780487534+12.686629032478836j),(-25.563462026600092+59.15072993830323j)
(-32.934079378773994+48.94717862573678j),(-41.914920530859554+57.482180682809954j),(40.93917015125618-4.117015973877972j),(66.86621182075187-28.465455982695502j)
(47.91893364660004+131.4000205336131j),(125.02649707270054+119.06333776103422j),(27.7296737067022-18.653858880688052j),(6.203652162138738-77.43377168763551j)
(-16.87583784194868-61.87973726173239j),(6.256857801960905-72.01523896743714j),(17.037936314891105+20.620241306485447j),(23.5672182302221+58.25518060846744j)
(29.871894440510225+24.32530017050091j),(60.69475859910746+43.887848914289286j),(28.34703121011385+4.367170033641873j),(15.077975265071732-13.534358710032027j)
(-32.10048492881786-37.19889942612031j),(-9.954538943507078-84.13344764506226j),(19.163632581380732+27.088682894754385j),(22.872282005716777+31.81155486989762j)
(43.49762025041487+38.54973935197165j),(70.08582994434784+70.88345188785365j),(13.85004581780612-0.5411457159121023j),(-27.88434312280978-31.2049586428547j)
(-7.0426197427575135+30.878673816743373j),(2.7163356828312235+5.208062618252644j),(27.540605813881193+0.8054233391323162j),(52.51149665092714-25.920937104059576j)
(-11.790923671992864+50.59208202845736j),(4.9759933427286+84.51151026442109j),(6.247906763111534+3.039919440015834j),(14.816834020997922-10.078442135819612j)
(-9.923542238433729-10.759823658425212j),(-19.45169007413416-7.371528098689906j),(16.3204017232492+25.074939257579647j),(40.91663729147079+3.5641849976622346j)
(-11.606199600925063-10.658816541294772j),(-9.330935058807777+31.300762126346083j),(10.746488401881264+19.469473639752064j),(12.047376128680035+26.596046307193458j)
(1.9351928531131009-38.82903324729079j),(-14.80424099673023-63.68786138240841j),(7.892698027090404-1.8951263391738555j),(-18.927457030159232+20.922185093129414j)
(62.461846046689686-20.83023900768821j),(65.98476469245199-14.030634162296838j),(-4.531011349718843-2.0917104812884904j),(-9.128308676870091+6.595743805212178j)
(-21.727112745964174+22.923008299838063j),(-23.754243515015766-10.564691058242468j),(26.9273728538256-3.7662273960526056j),(5.416040052855726-33.493412843520495j)
(36.05552594662764+39.50456490439692j),(92.66123179266044+1.6741017811018395j),(34.20778998074719-0.22948620749159865j),(9.533445038863203-30.12234779207903j)
(-8.05248780654876+39.27650849207499j),(-68.62630819172347+67.42562588942245j),(8.361112872628695-1.0965824667300839j),(2.369826433120658-10.866044700930736j)
(-12.740407590973016-25.4824718523572j),(2.324618872280938-29.38653626411863j),(29.02728776420139-0.8480019635353759j),(21.63139250076936-14.714775633386957j)
(19.528516334377528+25.769305811627582j),(22.170669778075258+13.57055395380624j),(16.8811816388367+15.156456770045452j),(-34.29246409558301+39.377140286720746j)
