(15494+0j),(18187+0j),(31501+0j),(33459+0j)
(-26.269058404650437+7.038125134891925j),(-21.906578182964616+35.385252417794995j),(-20.46159523355137+5.242241150910054j),(4.110841093507581-55.26311557535844j)
(-24.624237395217882+9.639699810979542j),(15.610673061601668+25.823766982576995j),(-11.895832070095118+7.241626636774159j),(16.017880668439595-24.80786733265198j)
(-14.86459900787638+18.547634287709425j),(17.669966753732208+26.829336297543016j),(0.32147460378438053+1.833671832451046j),(25.544715987967436-7.551720618998166j)
(-15.621110008913796-10.935979519290159j),(18.170709718997777+11.466687233484938j),(1.6312169579687321-0.2939930188382025j),(30.440159654015712+3.796986015672573j)
(-14.851143779078052+16.191488589872847j),(2.5911356655101065+2.759975506558529j),(11.510296715142095-9.289298766912033j),(23.154130597444+2.7967961260218783j)
(10.133211362202662+9.883411486891406j),(-24.933815652708077-6.020790229708528j),(-5.009636231818996+4.894009940852428j),(5.933408630124648-16.391816085005075j)
(-19.250627490176583+8.85504520207278j),(-15.137727320894129+15.935015663692893j),(-1.2503319906756474+7.290087569231417j),(-8.787167745067862-13.603170740183828j)
(1.2317424565181965+20.588638779303224j),(-14.358489371903328+30.02884464828601j),(8.87840604633378+10.956709858965509j),(15.741012638547758-8.092445525508275j)
(-15.664013152659612+3.811930226240994j),(7.950826084834587+31.506838454323816j),(7.395592837465268-0.13237967887850388j),(0.21997939821354606-8.38448134646132j)
(0.03450312788828702+13.768831329676864j),(10.749415837577068+31.62214623518751j),(26.868273346979766-7.004004433260332j),(9.071941800402442-14.836180523443172j)
(2.628021905883238+3.2803908702116864j),(11.678597130580265+6.098533435394778j),(20.717380849536944-10.193333422853161j),(5.052915946230806-2.8410373220748406j)
(-1.8584075796983184+2.199099339274527j),(-3.589023325204325-6.8853675843185425j),(10.599212795541789-31.35207879142735j),(5.275661543259599+4.1716505793787135j)
(-23.178087342366975+10.729681253053284j),(-31.46456187137236+7.615900222998732j),(-18.600917917340468-11.39475607411545j),(19.187243306931347+21.55160014079727j)
(-7.1648743962623485+13.18921677134053j),(-32.1624814901561+13.032494608375636j),(-21.858683319947886-10.924416316372795j),(1.773594207385031-15.565381420537094j)
(-8.735950432511515+2.87138279437652j),(-29.997073037624162+12.244446050779342j),(-12.30274752864413-1.6454633293041354j),(18.866934364954876-6.17663363709069j)
(-25.387687950941782-27.824506518565244j),(-7.70146976164682+19.938568829274885j),(-10.320348336124459+20.80489156717151j),(-8.363724188071316-1.6905888847419401j)
(-1.5909456904797192+5.105546142008712j),(-10.72354893143633+17.39691238502988j),(-10.917676898152877+8.930384562698467j),(11.139556523309174-6.768162113487067j)
(-13.209283067162787-12.828689793494938j),(14.906544041652566-23.30641231899901j),(4.166695218047144+10.976246767353752j),(6.376037890433747+0.9830481407249696j)
(-4.382910264411089-17.67102186756047j),(0.5737314483022353-29.522035991227j),(17.196790943865928+4.4845092815169565j),(-4.308097855685256-23.295107408196543j)
(4.581425516092267-7.225718627990837j),(-30.941308494928986-24.550509575673157j),(-19.143703965238643+20.667298509459293j),(6.519573356147557-18.844459429276167j)
(-3.31939613214864-17.422188396474755j),(-30.030794961827112-3.5059438750150473j),(-11.91334595253349+15.057802421844874j),(-2.8486991414218323+6.115782980956431j)
(-2.3922552330153253+5.075953144871602j),(-21.377825111933355-2.128551291504073j),(-0.4571516041752339+23.14926601782988j),(-2.3404488103319405-5.654608862274815j)
(5.76901448579288-17.371985311931983j),(-9.209253868095042+12.343319308778256j),(18.737575740464898+14.556211214599802j),(20.754426971514782-9.870436107466197j)
(-3.43465928272363+14.072156820726283j),(14.394432921149079-13.754742353082282j),(23.97538624623981+8.659739875104588j),(5.345818518296689+13.236871136021694j)
(-2.2133185954998016-13.808065540309421j),(18.647813917087305-13.629918531507272j),(22.061366467022403+2.7321788655476293j),(2.218321873944859-5.809816468552391j)
(-9.627130459948695+4.993645537494199j),(1.8893019240636848-30.597452015281096j),(16.73585749010151-15.810764600780962j),(-9.246444988701004+12.231537263707093j)
(-7.383934243464406-24.78019955530406j),(-7.376954867174855-25.038473720117054j),(-4.0285551482333215-8.836789265955675j),(6.571559468393476-2.5087068386551543j)
(-3.0941867925857878+10.143046895530464j),(-6.07912130234763-14.485625985362475j),(3.3540759526349575-9.980620667609145j),(-16.017221424142917-23.346375252391667j)
(4.732744469681162-5.449180482593036j),(-5.515311475147541+13.395640420081097j),(-6.205244582193213+9.678620333903417j),(8.535007509735996-15.756439257357004j)
(13.625238042477864+13.642495038070134j),(19.73992736234816+19.19856233156598j),(-22.481700109396794+10.249845579199867j),(21.12278948092603-2.2659969759723975j)
(12.118378852143511-2.7510515931334476j),(36.23467604427615+7.058555447120389j),(-10.929458025325587+6.0194091868998365j),(34.880598217758745+1.5715446604105892j)
(9.55305877235598-18.105401051279326j),(26.237389211081236-21.538096478691052j),(-2.4560559292389-3.9347614926754613j),(19.450895364059093+8.640968639537386j)
(-0.21299035806394784+12.121528624105736j),(11.739065769616438-20.954236130912108j),(-8.02553359105177-0.8767219849353038j),(22.69732617519828-15.568070789242316j)
(47.80653832814805-11.061587392063467j),(6.009734970148603-6.962136216825815j),(-21.09363279950118+0.5959730993176358j),(-11.99061707615311-13.642802028742073j)
(1.0700236223252233+1.142596143433881j),(-7.331477717278787+2.243576016788106j),(3.16367794320913+10.752544324838667j),(7.135866886489666+13.352937667167176j)
(15.65275475640142-10.611368766322926j),(-6.478925120994891+13.021063439779413j),(-13.293254849893001+25.53928245909583j),(-3.2413138965118815-8.315955564090633j)
(2.6848041516086782+21.687604570720175j),(15.138217874590222+34.962238790127486j),(-4.868097035276733+17.81618196173809j),(-1.2247674245285882+0.2660489652503877j)
(-7.701736621998087+5.212613121543386j),(30.714036624507862+20.89364225149814j),(12.838690874543568+17.995177395989156j),(4.31387952499402-18.480846371261848j)
(30.24855734713568-4.9530299205993895j),(14.44793914458996+10.982677977007086j),(13.799082669732016+7.541106023933993j),(-21.581993450967687+8.275765243613833j)
(-10.954456157135535+13.850326370488943j),(5.950074635371652-11.323802139783378j),(26.83817791926612-6.48665330091032j),(1.2092090154293986+4.823730384967687j)
(4.2661887560048966-14.657305785170802j),(-9.201253476038488-6.163409393553945j),(2.482463056840481-3.0632405492705637j),(9.20561656869055-2.9883398256112548j)
(-12.240938811152432+22.009388011338697j),(-18.258397207496046+13.09850083386841j),(21.504607367311337-10.32203173972358j),(0.7436272167592506-24.360124462073514j)
(2.073014519169007+2.2235496782960293j),(-28.747185575851425+21.80789959237354j),(12.589333223153622-0.5475045401135012j),(-1.9195557745195915-8.284115073160214j)
(-23.027912468824084-2.2611261946949446j),(-5.537974228228146+23.323939793024053j),(14.445247989058801-8.366404687164625j),(8.908432544177355-3.4381817433382045j)
(-9.698898595688462-5.446113741998213j),(5.507257834426532+6.085716842386708j),(10.942643559139091-21.389517431755042j),(1.3814562887455644+8.532915913618906j)
