sex;age;bmi;avg4;max4;min4;avg3;max3;min3;avg2;max2;min2;avg1;max1;min1;emotion
0;21;1;66.125;95.0;51.0;158.125;175.0;143.0;550.625;608.0;494.0;562.7142857142857;672.0;293.0;3
0;21;1;87.875;112.0;74.0;168.44444444444446;195.0;146.0;544.5555555555555;605.0;477.0;545.1111111111111;672.0;293.0;1
0;21;1;109.875;139.0;93.0;190.0;224.0;170.0;546.375;608.0;474.0;545.625;674.0;299.0;0
0;21;1;139.625;167.0;114.0;228.25;271.0;206.0;535.0;593.0;464.0;536.25;656.0;293.0;5
0;21;1;158.375;193.0;115.0;198.0;245.0;158.0;552.625;610.0;496.0;581.25;678.0;295.0;4
0;21;1;100.0;141.0;83.0;184.88888888888889;215.0;166.0;552.3333333333334;613.0;495.0;548.8888888888889;675.0;295.0;1
0;21;1;100.28571428571428;160.0;80.0;175.75;192.0;156.0;715.7142857142857;807.0;639.0;815.5714285714286;960.0;460.0;5
0;21;1;100.8;154.0;78.0;167.2;199.0;114.0;556.6666666666666;611.0;496.0;522.2;673.0;294.0;4
0;21;1;101.1;159.0;80.0;167.33333333333334;201.0;147.0;626.4444444444445;750.0;554.0;813.6;961.0;464.0;6
0;21;1;101.58333333333331;141.0;82.0;179.0;215.0;146.0;553.0833333333334;609.0;491.0;571.4545454545455;675.0;297.0;6
0;21;1;101.66666666666669;128.0;85.0;183.8571428571429;217.0;165.0;549.8333333333334;603.0;491.0;545.1666666666666;672.0;293.0;2
0;21;1;102.27272727272728;161.0;79.0;173.54545454545453;197.0;144.0;555.9;609.0;494.0;561.3;677.0;295.0;2
0;21;1;103.5;144.0;85.0;179.44444444444446;211.0;151.0;550.875;611.0;481.0;544.5;677.0;295.0;0
0;21;1;103.5;142.0;80.0;186.0;215.0;159.0;551.125;609.0;491.0;546.5555555555555;673.0;293.0;4
0;21;1;103.8;138.0;82.0;166.6;186.0;145.0;486.22222222222223;545.0;421.0;527.6;638.0;272.0;7
0;21;1;104.08333333333331;128.0;80.0;181.41666666666663;234.0;149.0;551.6923076923077;611.0;496.0;558.0833333333334;680.0;297.0;3
0;21;1;105.33333333333331;128.0;87.0;166.33333333333334;182.0;148.0;526.3333333333334;579.0;464.0;522.8888888888889;650.0;268.0;0
0;23;1;105.6;150.0;84.0;212.5;222.0;202.0;530.0;593.0;479.0;536.6666666666666;659.0;293.0;2
0;21;1;105.66666666666669;126.0;91.0;164.5;185.0;149.0;529.0;592.0;477.0;535.8333333333334;658.0;289.0;1
0;21;1;105.9090909090909;153.0;91.0;185.8;201.0;172.0;528.5;585.0;461.0;522.6;652.0;299.0;5
0;21;1;106.85714285714286;208.0;68.0;225.78571428571428;268.0;187.0;538.1538461538462;596.0;467.0;556.1428571428571;663.0;293.0;5
0;21;1;107.0;130.0;93.0;171.11111111111111;189.0;155.0;531.2222222222222;592.0;463.0;535.3333333333334;656.0;292.0;2
0;20;1;107.0;130.0;93.0;171.11111111111111;189.0;155.0;531.2222222222222;592.0;463.0;535.3333333333334;656.0;292.0;6
0;21;1;107.22222222222224;128.0;93.0;178.77777777777777;209.0;142.0;545.5555555555555;606.0;485.0;578.25;673.0;299.0;5
0;21;1;109.0;155.0;81.0;193.25;226.0;142.0;537.7142857142857;594.0;467.0;510.4285714285714;654.0;293.0;5
